nombre,categoria,rating,reviews,horario,direccion,ciudad,provincia,web,telefono,mapa,imagen,reseña
La Heladería Artesana,Heladería,"4,3",164,"lunes, De 10:30 a 14:00, De 17:00 a 21:00; martes, De 10:30 a 14:00, De 17:00 a 21:00; miércoles, Cerrado; jueves, De 10:30 a 14:00, De 17:00 a 21:00; viernes, De 10:30 a 14:00, De 17:00 a 21:00; sábado, De 10:30 a 14:00, De 17:00 a 21:00; domingo, De 10:30 a 14:00, De 17:00 a 21:00","C. de la Triste Condesa, 8, 05400 Arenas de San Pedro, Ávila",Arenas de San Pedro,Ávila,http://www.heladeriartesana.es/,920 37 24 22,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3046.9747416060254!2d-5.094875003210449!3d40.209624800000014!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd3f8ac522d4508d%3A0xedd96abe9abb8340!2sLa%20Helader%C3%ADa%20Artesana!5e0!3m2!1ses!2ses!4v1748727655001!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/p/AF1QipMoW9SQYnCIA1_1zEVS10lZri4ymDtmgHD_-9SY=w408-h306-k-no,"La Heladería Artesana, ubicado en Arenas de San Pedro, destaca según sus visitantes por comentarios como: Todo muy bien, aunque hay poco sitio para sentarse dentro. Recomiendo la ensaimada rellena. Los buñuelos espectaculares. La empanada de atún muy rica. El brownie un poco duro, no lo recomiendo.."
Alcampo,Supermercado,"3,8",1228,"lunes, De 9:00 a 22:00; martes, De 9:00 a 22:00; miércoles, De 9:00 a 22:00; jueves, De 9:00 a 22:00; viernes, De 9:00 a 22:00; sábado, De 9:00 a 22:00; domingo, Cerrado","C. de los Maceros, s/n, 05002 Ávila",Ávila,Ávila,https://www.alcampo.es/empresa/tienda/avila?utm_campaign=gmb_avila&amp;utm_content=avila&amp;utm_medium=localoo&amp;utm_source=google&amp;utm_term=gmb_,913 68 78 57,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3027.378115882639!2d-4.704315503210449!3d40.643594700000016!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd40f3130a3a221b%3A0x485314d1178bbd16!2sAlcampo!5e0!3m2!1ses!2ses!4v1748727596202!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npHKtai-hgpiD6N1z3DDdx3L-dVYTGGSRWZK9Iy6rgae0KhpMDi73tz0GvBKunXPDbC9ykDCkRR61lyo0UQxq30Df-i9Lxi4r3UUi0GolT_N2QI6kbjF0zRVLguEkwpYW9bITM=w408-h306-k-no,"Alcampo, en Ávila, todavía no cuenta con suficientes opiniones para valorar la experiencia. Un lugar pendiente de descubrir."
ALDI,Supermercado de descuentos,"4,1",840,"lunes, De 9:00 a 21:30; martes, De 9:00 a 21:30; miércoles, De 9:00 a 21:30; jueves, De 9:00 a 21:30; viernes, De 9:00 a 21:30; sábado, De 9:00 a 21:30; domingo, Cerrado","Av. Juan Carlos I, s/n, 05004 Ávila",Ávila,Ávila,https://www.aldi.es/,900 902 466,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3026.6792654686114!2d-4.68556360321045!3d40.659000000000006!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd40f3aeaafb7a6b%3A0x3b576c1719a5a329!2sALDI!5e0!3m2!1ses!2ses!4v1748727707892!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/p/AF1QipPyIN8l3Ue7hMZIwFTQWtgFWhGE3vfKG9sK1j0I=w426-h240-k-no,"ALDI, en Ávila, todavía no cuenta con suficientes opiniones para valorar la experiencia. Un lugar pendiente de descubrir."
ALFIL.BE,Papelería,3,10,"lunes, De 8:30 a 15:00, De 17:30 a 19:30; martes, De 8:30 a 15:00, De 17:30 a 19:30; miércoles, De 8:30 a 15:00, De 17:30 a 19:30; jueves, De 8:30 a 15:00, De 17:30 a 19:30; viernes, De 8:30 a 15:00, De 17:30 a 19:30; sábado, De 11:00 a 12:00; domingo, Cerrado","C. San Juan de la Cruz, 19, 05001 Ávila",Ávila,Ávila,http://www.alfil.be/,920 30 44 01,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3026.87928534158!2d-4.697012303210475!3d40.65459129999999!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd40f304239eaecd%3A0xb6bf17eef6e356c8!2sALFIL.BE!5e0!3m2!1ses!2ses!4v1748727718408!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/p/AF1QipPDkinFyQn1T2ie81o0_9BbgIn6QrWq3LRIgxYH=w426-h240-k-no,"ALFIL.BE, ubicado en Ávila, destaca según sus visitantes por comentarios como: Vuelvo en 5 minutos pone en la puerta. Al final nos hemos tenido que ir. Luego la gente se pregunta por qué no compran en las tiendas de barrio y lo hace en Amazon.."
Ávila Alvalacan,Restaurante especializado en barbacoa,"2,7",313,,"C. de San Segundo, 38, 44, 05001 Ávila",Ávila,Ávila,http://www.alvalacanpuertadelalcazar.es/,667 23 19 98,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3026.8054306563886!2d-4.701062603210449!3d40.656219199999995!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd40f35342fb5963%3A0x3f0c9941c938e53d!2s%C3%81vila%20Alvalacan!5e0!3m2!1ses!2ses!4v1748727185579!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqsLc3Ox8rcOWCqZTuv0C3Ke5_q5I9FIGukUS4NIJSJwWgKV5yat6rYzYiANQr_TiU0-RYHyukJCHAOwp3X6tAJq1AQr4sBozeKUX2hFw-34oqWUOAf1jRSMZXdodEqIACVBOwK1Q=w408-h306-k-no,"Ávila Alvalacan, ubicado en Ávila, destaca según sus visitantes por comentarios como: Para tapear no esta mal. La terraza es bastante acogedora, el personal amable y atento, en cuanto a la comida pedimos dos cañas con unas patatas revolconas que nos costaron 5,8€ por esa parte genial en cuanto calidad-precio, pero de sabor un poco sosas y el torrezno muy salado. Pero aún así, repetiríamos.."
Bendita Locura,Restaurante,"3,8",603,"lunes, De 12:00 a 24:00; martes, De 12:00 a 24:00; miércoles, De 12:00 a 24:00; jueves, De 12:00 a 24:00; viernes, De 12:00 a 1:00; sábado, De 10:00 a 1:00; domingo, De 10:00 a 24:00","Ctra. Barco de Ávila, 10, 05002 Ávila",Ávila,Ávila,http://benditalocuraav.com/,920 10 10 12,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3026.7708593456064!2d-4.714461103210443!3d40.656981200000004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd40f386d283d833%3A0xc05430975b53ac57!2sBendita%20Locura!5e0!3m2!1ses!2ses!4v1748727246380!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqnJjJqf5DrU1gJkUi43XALrmi06-9nWhELO9knOa_mJzxAhWPJbWZCzaRIP4s2qPJ84yAUy5uIB6Yv04bb8VeHdbUxuGYCV1cfqxXPlMAFoC8WupF-nzfSzPwjMzD0AZZxF4nG=w408-h306-k-no,"Bendita Locura, ubicado en Ávila, destaca según sus visitantes por comentarios como: Han tardado 10 min desde que nos hemos sentado en preguntarnos qué vamos a tomar y está el local vacío… el camarero pasando por nuestro lado nos ignoraba, además no saben cuál es la bebida vegetal de las distintas jarras que tienen.. lo…."
Bococo,Restaurante,"4,7",4128,"lunes, Cerrado; martes, De 13:30 a 16:30, De 20:30 a 23:00; miércoles, De 13:30 a 16:30, De 20:30 a 23:00; jueves, De 13:30 a 16:30, De 20:30 a 23:00; viernes, De 13:30 a 16:30, De 20:30 a 23:00; sábado, De 13:30 a 16:30, De 20:30 a 23:00; domingo, De 13:30 a 16:30","C. Estrada, 11, 05001 Ávila",Ávila,Ávila,https://www.bococo.es/,920 22 36 46,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3026.8759825981015!2d-4.700482703210449!3d40.65466410000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd40f304ba2a8277%3A0x674d986cf9011f5f!2sBococo!5e0!3m2!1ses!2ses!4v1748727159736!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noi3wSY3r95i_oE-MgTIjbWhV-f0WlnMrq4j_Dnerk_RqCFh1kBXlU9kwCjMeq7MsYO7Vu2tB9ziSxekKpNUNhJrMVjcA61yeo0wM1OWjwRiQfhYhddijk15OXIZdDphnd7apM=w408-h306-k-no,"Bococo, ubicado en Ávila, destaca según sus visitantes por comentarios como: Me gustaría compartir mi experiencia en este restaurante, que me ha gustado mucho por su decoración y atención. La decoración es muy acogedora y el personal es amable y atento. La carta ofrece una buena variedad de platos y los precios son razonables teniendo en cuenta la cantidad de comida que sirven. A continuación, describo los platos que pedí: Primeros:. Esta es solo una muestra del aprecio (o crítica) que genera entre quienes lo visitan."
Café Fortaleza,Cafetería,"4,1",1100,"lunes, De 7:00 a 22:30; martes, De 7:00 a 22:30; miércoles, De 7:00 a 22:30; jueves, De 7:00 a 22:30; viernes, De 7:00 a 22:30; sábado, De 8:30 a 22:00; domingo, De 8:30 a 22:00","C. Reyes Católicos, 13, 05001 Ávila",Ávila,Ávila,,920 22 10 41,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3026.7921556993183!2d-4.705551203210425!3d40.65651180000002!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd40f31b7fb2b5b1%3A0x6121f79bd9af17e7!2sCaf%C3%A9%20Fortaleza!5e0!3m2!1ses!2ses!4v1748727331079!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq60fZeDrifZXb7sVUoKUkonbPoOdL9HC-MtD435D4QLzegTG4x6yXE4a4ThcraaueseO6TzFijUHh0yl9dVGkysnwfPaHbxyN03-J6CbBF_lHuoPCPX0jir-MJZQQh1D7_avA=w408-h306-k-no,"Café Fortaleza, ubicado en Ávila, destaca según sus visitantes por comentarios como: ME ENCANTA COMER Y SI ME CONOCIERAS, LO SABRÍAS 🤩🍴. ESTE SITIO PARA DESAYUNAR ES UNA PASADA 👌☕. Hemos ido a desayunar y ¡menuda sorpresa! Pedimos tres tostadas de pan de pueblo con jamón, y eran súper enormes 🥖🍖. Además, probamos el bizcocho de naranja, que era simplemente espectacular 🍊✨. Todo estaba buenísimo, incluidos los cafés, que también destacaron por su calidad. Sin duda, de los mejores sitios para ir a desayunar. Lo recomiendo al 100%. ¡Volveremos seguro! 😊👏."
Cafe Teatro Delicatessen,Bar musical,"4,3",719,"lunes, Cerrado; martes, De 20:00 a 3:00; miércoles, De 20:00 a 3:00; jueves, De 20:00 a 4:00; viernes, De 20:00 a 4:30; sábado, De 18:00 a 4:30; domingo, Cerrado","Av. Portugal, 9, 05001 Ávila",Ávila,Ávila,,920 33 73 84,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3026.758822778033!2d-4.697225203210449!3d40.65724650000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd40f30374c93187%3A0xf0887fbb27bc82ee!2sCafe%20Teatro%20Delicatessen!5e0!3m2!1ses!2ses!4v1748727105173!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/p/AF1QipOz2Vm5B0N3CqC4OJ0PROZeAsW8kPNcTpLWSnwb=w408-h408-k-no,"Cafe Teatro Delicatessen, ubicado en Ávila, destaca según sus visitantes por comentarios como: Espectacular!!! Si te mola lo retro, es tu sitio. Camareros agradables y tapas elaboradas... Un placer en tifus los sentidos!! Lo pasamos genial y la música, un regalo."
Carrefour,Hipermercado,4,3472,"lunes, De 9:00 a 22:00; martes, De 9:00 a 22:00; miércoles, De 9:00 a 22:00; jueves, De 9:00 a 22:00; viernes, De 9:00 a 22:00; sábado, De 9:00 a 22:00; domingo, Cerrado","Av. Juan Carlos I, 45, 05004 Ávila",Ávila,Ávila,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/avila.aspx,920 20 66 63,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3026.225596264566!2d-4.665599603210449!3d40.668997999999995!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd40f23169d5090f%3A0xd8e3c66a518614e2!2sCarrefour!5e0!3m2!1ses!2ses!4v1748727468672!5m2!1ses!2ses"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr9iCm1MgH3Hih3TiL9MrKHfQi0nQf_ZEeYoQ7RiWmxFc8V3XRmONu9ntKxhJIZb9pU5rd5_EGT3rjj7VSndehQSKGyxABY00_gCCmf4m987Mt0Ave29yNrJ5NQ6pScw_XTqnFTYA=w408-h306-k-no,"Carrefour, ubicado en Ávila, destaca según sus visitantes por comentarios como: Escribo para puntuar muy positivamente la atención que hemos recibido está mañana en el área de electrodomésticos tanto de María que nos ha hecho todos los trámites para la compra de una nevera con financiación,etc.. como de Fernando que nos ha ayudado cargandola en el coche.Los dos con muchísima amabilidad.Asi da gusto!."
