nombre,direccion,CP,ciudad,provincia,telefono,pagina_web,actividad,actividades relacionadas,marcas,descripcion,iframe_mapa,imagen_principal,facebook,instagram,x,youtube,horario,descripcion_SEO
Muebles De Cocina Lino Alonso,"Alcalde de lavadores, 120",36214.0,Vigo,Pontevedra,,http://linoalonso.com?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,MUEBLES DE COCINA: ESTABLECIMIENTOS,[],[],"Muebles de cocina.Muebles De Cocina Lino Alonso.es un negocio ubicado en Alcalde de lavadores, 120,.Vigo...Puedes contactar con este negocio en la web y a través del formulario de contacto..Valora los servicios de.Muebles De Cocina Lino Alonso., dejando tu opinión y subiendo alguna fotografía relacionada con este negocio.","<iframe src='https://www.google.com/maps?q=42.21689,-8.69657&z=15&output=embed' width='600' height='450' style='border:0;' allowfullscreen loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",//estaticos.paginasamarillas.es/paginasamarillas/9_11_2/ficha/images/empty.png,,,,,,"Muebles De Cocina Lino Alonso ofrece servicios especializados en alquiler de maquinaria y equipos profesionales en Vigo, Pontevedra. Somos referentes en el sector de MUEBLES DE COCINA: ESTABLECIMIENTOS, proporcionando soluciones de renta de maquinaria industrial para trabajos de construcción, mantenimiento y proyectos técnicos. Contamos con maquinaria profesional para actividades como [], adaptada a las necesidades de empresas y autónomos. Nuestro catálogo incluye marcas de calidad como [], garantizando rendimiento y fiabilidad. Si buscas servicios de alquiler en Vigo con asesoramiento experto y disponibilidad inmediata, somos tu mejor opción en la provincia de Pontevedra."
Talleres Arteixo,"B.º Atios, KM.1 BAJO(CTRA.SALCEDA)",36400.0,O Porriño,Pontevedra,986348799.0,http://www.talleresarteixo.com?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,MAQUINARIA: ALQUILER,[],[],"Maquinaria.Talleres Arteixo.es un negocio ubicado en B.º Atios, KM.1 BAJO(CTRA.SALCEDA),.O Porriño...Puedes contactar con este negocio en el número de teléfono 986348799, en la web y a través del formulario de contacto..Valora los servicios de.Talleres Arteixo., dejando tu opinión y subiendo alguna fotografía relacionada con este negocio.",,//estaticos.paginasamarillas.es/paginasamarillas/9_11_2/ficha/images/empty.png,,,,,,"Talleres Arteixo ofrece servicios especializados en alquiler de maquinaria y equipos profesionales en O Porriño, Pontevedra. Somos referentes en el sector de MAQUINARIA: ALQUILER, proporcionando soluciones de renta de maquinaria industrial para trabajos de construcción, mantenimiento y proyectos técnicos. Contamos con maquinaria profesional para actividades como [], adaptada a las necesidades de empresas y autónomos. Nuestro catálogo incluye marcas de calidad como [], garantizando rendimiento y fiabilidad. Si buscas servicios de alquiler en O Porriño con asesoramiento experto y disponibilidad inmediata, somos tu mejor opción en la provincia de Pontevedra."
Sanior Sanitarios Portátiles Ecológicos,"Rua 3, 3 PROVINCE OF OURENSE",32901.0,San Cibrao das Viñas,Ourense,620403913.0,http://sanior.es?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,MAQUINARIA: ALQUILER,[],[],"Maquinaria.Sanior Sanitarios Portátiles Ecológicos.es un negocio ubicado en Rua 3, 3 PROVINCE OF OURENSE,.San Cibrao das Viñas...Puedes contactar con este negocio en el número de teléfono 620403913, en la web y a través del formulario de contacto..Valora los servicios de.Sanior Sanitarios Portátiles Ecológicos., dejando tu opinión y subiendo alguna fotografía relacionada con este negocio.","<iframe src='https://www.google.com/maps?q=42.2870245,-7.8227692&z=15&output=embed' width='600' height='450' style='border:0;' allowfullscreen loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",//estaticos.paginasamarillas.es/paginasamarillas/9_11_2/ficha/images/empty.png,,,,,,"Sanior Sanitarios Portátiles Ecológicos ofrece servicios especializados en alquiler de maquinaria y equipos profesionales en San Cibrao das Viñas, Ourense. Somos referentes en el sector de MAQUINARIA: ALQUILER, proporcionando soluciones de renta de maquinaria industrial para trabajos de construcción, mantenimiento y proyectos técnicos. Contamos con maquinaria profesional para actividades como [], adaptada a las necesidades de empresas y autónomos. Nuestro catálogo incluye marcas de calidad como [], garantizando rendimiento y fiabilidad. Si buscas servicios de alquiler en San Cibrao das Viñas con asesoramiento experto y disponibilidad inmediata, somos tu mejor opción en la provincia de Ourense."
Ferreteria Aluguer,"Rua Álvaro Cunqueiro, 7 BAJO",15008.0,A Coruña,,981154155.0,,MAQUINARIA PARA LA CONSTRUCCION: ALQUILER,[],[],"Maquinaria para la construccion.Ferreteria Aluguer.es un negocio ubicado en Rua Álvaro Cunqueiro, 7 BAJO,.A Coruña...Puedes contactar con este negocio en el número de teléfono 981154155 y a través del formulario de contacto..Valora los servicios de.Ferreteria Aluguer., dejando tu opinión y subiendo alguna fotografía relacionada con este negocio.","<iframe src='https://www.google.com/maps?q=43.3476052,-8.4087575&z=15&output=embed' width='600' height='450' style='border:0;' allowfullscreen loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",//estaticos.paginasamarillas.es/paginasamarillas/9_11_2/ficha/images/empty.png,,,,,,"Ferreteria Aluguer ofrece servicios especializados en alquiler de maquinaria y equipos profesionales en A Coruña, nan. Somos referentes en el sector de MAQUINARIA PARA LA CONSTRUCCION: ALQUILER, proporcionando soluciones de renta de maquinaria industrial para trabajos de construcción, mantenimiento y proyectos técnicos. Contamos con maquinaria profesional para actividades como [], adaptada a las necesidades de empresas y autónomos. Nuestro catálogo incluye marcas de calidad como [], garantizando rendimiento y fiabilidad. Si buscas servicios de alquiler en A Coruña con asesoramiento experto y disponibilidad inmediata, somos tu mejor opción en la provincia de nan."
MANUNTENCIONES HIDROELEVACION S.L.,"Ronda Outeiro, 271 -PORT-B;12-D",15011.0,A Coruña,,609170713.0,,CARRETILLAS ELEVADORAS: REPARACION,[],[],"Carretillas elevadoras MANUNTENCIONES HIDROELEVACION S.L. es un negocio ubicado en Ronda Outeiro, 271 -PORT-B;12-D,.A Coruña...Puedes contactar con este negocio en el número de teléfono 609170713 y a través del formulario de contacto..Valora los servicios de MANUNTENCIONES HIDROELEVACION S.L., dejando tu opinión y subiendo alguna fotografía relacionada con este negocio.","<iframe src='https://www.google.com/maps?q=43.3633918762,-8.4232082367&z=15&output=embed' width='600' height='450' style='border:0;' allowfullscreen loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",//estaticos.paginasamarillas.es/paginasamarillas/9_11_2/ficha/images/empty.png,,,,,,"MANUNTENCIONES HIDROELEVACION S.L. ofrece servicios especializados en alquiler de maquinaria y equipos profesionales en A Coruña, nan. Somos referentes en el sector de CARRETILLAS ELEVADORAS: REPARACION, proporcionando soluciones de renta de maquinaria industrial para trabajos de construcción, mantenimiento y proyectos técnicos. Contamos con maquinaria profesional para actividades como [], adaptada a las necesidades de empresas y autónomos. Nuestro catálogo incluye marcas de calidad como [], garantizando rendimiento y fiabilidad. Si buscas servicios de alquiler en A Coruña con asesoramiento experto y disponibilidad inmediata, somos tu mejor opción en la provincia de nan."
SANDE Y DIAZ,"Calle Novoa Santos, 11 BAJO",15006.0,A Coruña,,981174209.0,http://www.sandeydiaz.com?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,COMPRESORES: FABRICACION,[],[],"Compresor.SANDE Y DIAZ.es un negocio ubicado en Calle Novoa Santos, 11 BAJO,.A Coruña...Hoy está cerrado..Puedes contactar con este negocio en el número de teléfono 981174209, en la web y a través del formulario de contacto..Valora los servicios de.SANDE Y DIAZ., dejando tu opinión y subiendo alguna fotografía relacionada con este negocio.","<iframe src='https://www.google.com/maps?q=43.3567390442,-8.3994874954&z=15&output=embed' width='600' height='450' style='border:0;' allowfullscreen loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",//estaticos.paginasamarillas.es/paginasamarillas/9_11_2/ficha/images/empty.png,,,,,"<div class=""collapse"" id=""horario""><p><b>Lunes</b><time data-yext=""openingHours"" datetime=""Mo 09:00-13:30 "" itemprop=""openingHours""> 09:00-13:30 </time> y <time data-yext=""openingHours"" datetime=""Mo 15:30-19:00"" itemprop=""openingHours""> 15:30-19:00 </time></p><p><b>Martes</b><time data-yext=""openingHours"" datetime=""Tu 09:00-13:30 "" itemprop=""openingHours""> 09:00-13:30 </time> y <time data-yext=""openingHours"" datetime=""Tu 15:30-19:00"" itemprop=""openingHours""> 15:30-19:00 </time></p><p><b>Miércoles</b><time data-yext=""openingHours"" datetime=""We 09:00-13:30 "" itemprop=""openingHours""> 09:00-13:30 </time> y <time data-yext=""openingHours"" datetime=""We 15:30-19:00"" itemprop=""openingHours""> 15:30-19:00 </time></p><p><b>Jueves</b><time data-yext=""openingHours"" datetime=""Th 09:00-13:30 "" itemprop=""openingHours""> 09:00-13:30 </time> y <time data-yext=""openingHours"" datetime=""Th 15:30-19:00"" itemprop=""openingHours""> 15:30-19:00 </time></p><p><b>Viernes</b><time data-yext=""openingHours"" datetime=""Fr 09:00-13:30 "" itemprop=""openingHours""> 09:00-13:30 </time> y <time data-yext=""openingHours"" datetime=""Fr 15:30-19:00"" itemprop=""openingHours""> 15:30-19:00 </time></p><p><b>Sábado</b> Cerrado </p><p><b>Domingo</b> Cerrado </p></div>","SANDE Y DIAZ ofrece servicios especializados en alquiler de maquinaria y equipos profesionales en A Coruña, nan. Somos referentes en el sector de COMPRESORES: FABRICACION, proporcionando soluciones de renta de maquinaria industrial para trabajos de construcción, mantenimiento y proyectos técnicos. Contamos con maquinaria profesional para actividades como [], adaptada a las necesidades de empresas y autónomos. Nuestro catálogo incluye marcas de calidad como [], garantizando rendimiento y fiabilidad. Si buscas servicios de alquiler en A Coruña con asesoramiento experto y disponibilidad inmediata, somos tu mejor opción en la provincia de nan."
Gruas Y Talleres Fuerte,"Rua Sampaio, 54 NAVE",36580.0,Vila de Cruces,Pontevedra,986583547.0,http://gruasfuerte.com?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,GRUAS PARA CONSTRUCCION E INDUSTRIA: VENTA Y ALQUILER,[],[],"Gruas para construccion e industria.Gruas Y Talleres Fuerte.es un negocio ubicado en Rua Sampaio, 54 NAVE,.Vila de Cruces...Puedes contactar con este negocio en el número de teléfono 986583547, en la web y a través del formulario de contacto..Valora los servicios de.Gruas Y Talleres Fuerte., dejando tu opinión y subiendo alguna fotografía relacionada con este negocio.","<iframe src='https://www.google.com/maps?q=42.7642018,-8.2675955&z=15&output=embed' width='600' height='450' style='border:0;' allowfullscreen loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",//estaticos.paginasamarillas.es/paginasamarillas/9_11_2/ficha/images/empty.png,,,,,,"Gruas Y Talleres Fuerte ofrece servicios especializados en alquiler de maquinaria y equipos profesionales en Vila de Cruces, Pontevedra. Somos referentes en el sector de GRUAS PARA CONSTRUCCION E INDUSTRIA: VENTA Y ALQUILER, proporcionando soluciones de renta de maquinaria industrial para trabajos de construcción, mantenimiento y proyectos técnicos. Contamos con maquinaria profesional para actividades como [], adaptada a las necesidades de empresas y autónomos. Nuestro catálogo incluye marcas de calidad como [], garantizando rendimiento y fiabilidad. Si buscas servicios de alquiler en Vila de Cruces con asesoramiento experto y disponibilidad inmediata, somos tu mejor opción en la provincia de Pontevedra."
TORVAR,"Barrio Espiñeira, 1 BAJO (VIAL20) BLOQ A",27788.0,Foz,Lugo,982124663.0,http://www.torvar.com?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,MAQUINARIA PARA LA CONSTRUCCION,[],[],"Maquinaria para la construccion.TORVAR.es un negocio ubicado en Barrio Espiñeira, 1 BAJO (VIAL20) BLOQ A,.Foz...Hoy está cerrado..Puedes contactar con este negocio en el número de teléfono 982124663, en la web y a través del formulario de contacto..Valora los servicios de.TORVAR., dejando tu opinión y subiendo alguna fotografía relacionada con este negocio.","<iframe src='https://www.google.com/maps?q=43.5436864,-7.2712802&z=15&output=embed' width='600' height='450' style='border:0;' allowfullscreen loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",//estaticos.paginasamarillas.es/paginasamarillas/9_11_2/ficha/images/empty.png,,,,,"<div class=""collapse"" id=""horario""><p><b>Lunes</b><time data-yext=""openingHours"" datetime=""Mo 08:00-13:00 "" itemprop=""openingHours""> 08:00-13:00 </time> y <time data-yext=""openingHours"" datetime=""Mo 15:00-20:00"" itemprop=""openingHours""> 15:00-20:00 </time></p><p><b>Martes</b><time data-yext=""openingHours"" datetime=""Tu 08:00-13:00 "" itemprop=""openingHours""> 08:00-13:00 </time> y <time data-yext=""openingHours"" datetime=""Tu 15:00-20:00"" itemprop=""openingHours""> 15:00-20:00 </time></p><p><b>Miércoles</b><time data-yext=""openingHours"" datetime=""We 08:00-13:00 "" itemprop=""openingHours""> 08:00-13:00 </time> y <time data-yext=""openingHours"" datetime=""We 15:00-20:00"" itemprop=""openingHours""> 15:00-20:00 </time></p><p><b>Jueves</b><time data-yext=""openingHours"" datetime=""Th 08:00-13:00 "" itemprop=""openingHours""> 08:00-13:00 </time> y <time data-yext=""openingHours"" datetime=""Th 15:00-20:00"" itemprop=""openingHours""> 15:00-20:00 </time></p><p><b>Viernes</b><time data-yext=""openingHours"" datetime=""Fr 08:00-13:00 "" itemprop=""openingHours""> 08:00-13:00 </time> y <time data-yext=""openingHours"" datetime=""Fr 15:00-20:00"" itemprop=""openingHours""> 15:00-20:00 </time></p><p><b>Sábado</b> Cerrado </p><p><b>Domingo</b> Cerrado </p></div>","TORVAR ofrece servicios especializados en alquiler de maquinaria y equipos profesionales en Foz, Lugo. Somos referentes en el sector de MAQUINARIA PARA LA CONSTRUCCION, proporcionando soluciones de renta de maquinaria industrial para trabajos de construcción, mantenimiento y proyectos técnicos. Contamos con maquinaria profesional para actividades como [], adaptada a las necesidades de empresas y autónomos. Nuestro catálogo incluye marcas de calidad como [], garantizando rendimiento y fiabilidad. Si buscas servicios de alquiler en Foz con asesoramiento experto y disponibilidad inmediata, somos tu mejor opción en la provincia de Lugo."
Galisec,"Calle Marque Riveira, S/N BAIXO",36680.0,A Estrada,Pontevedra,902444774.0,http://www.galisec.com?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,MAQUINARIA PARA LA CONSTRUCCION: ALQUILER,[],[],"Maquinaria para la construccion.Galisec.es un negocio ubicado en Calle Marque Riveira, S/N BAIXO,.A Estrada...Hoy está cerrado..Puedes contactar con este negocio en el número de teléfono 902444774, en la web y a través del formulario de contacto..Valora los servicios de.Galisec., dejando tu opinión y subiendo alguna fotografía relacionada con este negocio.","<iframe src='https://www.google.com/maps?q=42.726137357,-8.441774792&z=15&output=embed' width='600' height='450' style='border:0;' allowfullscreen loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",//estaticos.paginasamarillas.es/paginasamarillas/9_11_2/ficha/images/empty.png,,,,,"<div class=""collapse"" id=""horario""><p><b>Lunes</b><time data-yext=""openingHours"" datetime=""Mo 09:00-13:00 "" itemprop=""openingHours""> 09:00-13:00 </time> y <time data-yext=""openingHours"" datetime=""Mo 15:00-20:00"" itemprop=""openingHours""> 15:00-20:00 </time></p><p><b>Martes</b><time data-yext=""openingHours"" datetime=""Tu 09:00-13:00 "" itemprop=""openingHours""> 09:00-13:00 </time> y <time data-yext=""openingHours"" datetime=""Tu 15:00-20:00"" itemprop=""openingHours""> 15:00-20:00 </time></p><p><b>Miércoles</b><time data-yext=""openingHours"" datetime=""We 09:00-13:00 "" itemprop=""openingHours""> 09:00-13:00 </time> y <time data-yext=""openingHours"" datetime=""We 15:00-20:00"" itemprop=""openingHours""> 15:00-20:00 </time></p><p><b>Jueves</b><time data-yext=""openingHours"" datetime=""Th 09:00-13:00 "" itemprop=""openingHours""> 09:00-13:00 </time> y <time data-yext=""openingHours"" datetime=""Th 15:00-20:00"" itemprop=""openingHours""> 15:00-20:00 </time></p><p><b>Viernes</b><time data-yext=""openingHours"" datetime=""Fr 09:00-13:00 "" itemprop=""openingHours""> 09:00-13:00 </time> y <time data-yext=""openingHours"" datetime=""Fr 15:00-20:00"" itemprop=""openingHours""> 15:00-20:00 </time></p><p><b>Sábado</b> Cerrado </p><p><b>Domingo</b> Cerrado </p></div>","Galisec ofrece servicios especializados en alquiler de maquinaria y equipos profesionales en A Estrada, Pontevedra. Somos referentes en el sector de MAQUINARIA PARA LA CONSTRUCCION: ALQUILER, proporcionando soluciones de renta de maquinaria industrial para trabajos de construcción, mantenimiento y proyectos técnicos. Contamos con maquinaria profesional para actividades como [], adaptada a las necesidades de empresas y autónomos. Nuestro catálogo incluye marcas de calidad como [], garantizando rendimiento y fiabilidad. Si buscas servicios de alquiler en A Estrada con asesoramiento experto y disponibilidad inmediata, somos tu mejor opción en la provincia de Pontevedra."
BAYGAR,"Bxda. Gándara, 3 BAJO",36330.0,Vigo,Pontevedra,986204781.0,http://www.baygar.com?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,MAQUINARIA PARA LA CONSTRUCCION,[],[],"Maquinaria para la construccion.BAYGAR.es un negocio ubicado en Bxda. Gándara, 3 BAJO,.Vigo...El negocio dispone de productos como BOMBAS DE DRENAJE, MARTILLOS ROMPEDORES, HORMIGONERAS, CARRETILLAS ELEVADORAS, AUTOVOLQUETES. Cuenta con: posibilidad de financiación. Hoy está cerrado..Puedes contactar con este negocio en el número de teléfono 986204781, en la web y a través del formulario de contacto..Valora los servicios de.BAYGAR., dejando tu opinión y subiendo alguna fotografía relacionada con este negocio.","<iframe src='https://www.google.com/maps?q=42.1944999695,-8.7707366943&z=15&output=embed' width='600' height='450' style='border:0;' allowfullscreen loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",//estaticos.paginasamarillas.es/paginasamarillas/9_11_2/ficha/images/empty.png,,,,,"<div class=""collapse"" id=""horario""><p><b>Lunes</b><time data-yext=""openingHours"" datetime=""Mo 08:30-13:00 "" itemprop=""openingHours""> 08:30-13:00 </time> y <time data-yext=""openingHours"" datetime=""Mo 15:30-19:00"" itemprop=""openingHours""> 15:30-19:00 </time></p><p><b>Martes</b><time data-yext=""openingHours"" datetime=""Tu 08:30-13:00 "" itemprop=""openingHours""> 08:30-13:00 </time> y <time data-yext=""openingHours"" datetime=""Tu 15:30-19:00"" itemprop=""openingHours""> 15:30-19:00 </time></p><p><b>Miércoles</b><time data-yext=""openingHours"" datetime=""We 08:30-13:00 "" itemprop=""openingHours""> 08:30-13:00 </time> y <time data-yext=""openingHours"" datetime=""We 15:30-19:00"" itemprop=""openingHours""> 15:30-19:00 </time></p><p><b>Jueves</b><time data-yext=""openingHours"" datetime=""Th 08:30-13:00 "" itemprop=""openingHours""> 08:30-13:00 </time> y <time data-yext=""openingHours"" datetime=""Th 15:30-19:00"" itemprop=""openingHours""> 15:30-19:00 </time></p><p><b>Viernes</b><time data-yext=""openingHours"" datetime=""Fr 08:30-13:00 "" itemprop=""openingHours""> 08:30-13:00 </time> y <time data-yext=""openingHours"" datetime=""Fr 15:30-19:00"" itemprop=""openingHours""> 15:30-19:00 </time></p><p><b>Sábado</b> Cerrado </p><p><b>Domingo</b> Cerrado </p></div>","BAYGAR ofrece servicios especializados en alquiler de maquinaria y equipos profesionales en Vigo, Pontevedra. Somos referentes en el sector de MAQUINARIA PARA LA CONSTRUCCION, proporcionando soluciones de renta de maquinaria industrial para trabajos de construcción, mantenimiento y proyectos técnicos. Contamos con maquinaria profesional para actividades como [], adaptada a las necesidades de empresas y autónomos. Nuestro catálogo incluye marcas de calidad como [], garantizando rendimiento y fiabilidad. Si buscas servicios de alquiler en Vigo con asesoramiento experto y disponibilidad inmediata, somos tu mejor opción en la provincia de Pontevedra."
